Designator,Mid X,Mid Y,Rotation,Layer
C1,169.25,-60.0,270.0,top
C2,171.75,-60.0,270.0,top
C3,140.0,-58.95,90.0,top
C4,142.5,-59.0,90.0,top
C5,162.0,-103.45,90.0,top
C6,172.0,-102.5,270.0,top
C7,143.0,-73.0,0.0,top
C8,143.05,-70.5,0.0,top
D1,149.0,-73.5,270.0,top
J1,160.4473,-74.4473,0.0,top
J4,110.0,-65.0,270.0,top
J5,163.54,-113.5,270.0,top
J6,124.225,-78.6,180.0,top
J7,163.0,-95.0,90.0,top
L1,169.0,-103.5,0.0,top
R1,136.0,-74.5,180.0,top
R2,141.0,-80.5,270.0,top
R3,149.0,-77.95,270.0,top
R5,117.675,-65.0,180.0,top
R6,117.675,-66.99,180.0,top
U2,159.5925,-60.0925,0.0,top
U3,165.5,-104.6,0.0,top
U4,140.5,-76.0,270.0,top
U5,129.38,-62.08,0.0,top
