"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"R3,R1";"R_0402_1005Metric_Pad0.72x0.64mm_HandSolder";2;"0.1uF";;;
2;"R4,R2";"R_0402_1005Metric_Pad0.72x0.64mm_HandSolder";2;"10uF";;;
3;"R5";"R_0402_1005Metric_Pad0.72x0.64mm_HandSolder";1;"10-33 uF";;;
4;"U1";"XIAO-nRF52840-DIP";1;"nRF52840 (Sense) WAS HERE";;;
5;"U2";"XCVR_RFM95W-868S2";1;"RFM95W";;;
6;"J6";"PinHeader_1x03_P2.54mm_Vertical";1;"Connect The Hall Circuit Here!";;;
7;"J5";"PinHeader_1x05_P2.54mm_Vertical";1;"Feedback This Side";;;
8;"J4";"PinHeader_1x03_P2.54mm_Vertical";1;"BATT Reg IC";;;
9;"J3";"PinHeader_1x01_P2.54mm_Vertical";1;"-";;;
10;"J2";"PinHeader_1x01_P2.54mm_Vertical";1;"+";;;
11;"TS Better Work";"TE_5-1814832-2";1;"SMA Connector";;;
